"cod_coordenacao_regional","coordenacao_regional","cod_escola","escola","tipo_escola","endereco_cep","endereco_uf","endereco_localidade","endereco_regiao_administrativa","endereco_bairro","endereco_logradouro","endereco_complemento"
12,CRE - Samambaia,565,ESCOLA CLASSE 303 DE SAMAMBAIA,pública,"72305000",DF,Brasília,Samambaia                     ,Samambaia Sul (Samambaia),QN 303 ,CONJUNTO 12 LOTE 01
10,CRE - Sobradinho,814,CENTRO DE EDUCAÇÃO DA PRIMEIRA INFÂNCIA JOÃO DE BARRO,pública,"73015600",DF,Brasília,Sobradinho                    ,Sobradinho,Quadra 2 Conjunto D/E Bloco D ,Quadra 02 Conjunto D
11,CRE - Taguatinga,292,ESCOLA CLASSE 08 DE TAGUATINGA,pública,"72130120",DF,Brasília,Taguatinga                    ,Taguatinga Norte (Taguatinga),QNG 12 ,Área especial 14
11,CRE - Taguatinga,294,ESCOLA CLASSE 11 DE TAGUATINGA,pública,"72025120",DF,Brasília,Taguatinga                    ,Taguatinga Sul (Taguatinga),QSE 12 ,Área Especial
5,CRE - Gama,474,ESCOLA CLASSE 07 DO GAMA,pública,"72415540",DF,Brasília,Gama                          ,Setor Sul (Gama),Quadra 12 Área Especial CEF 7 ,Área Especial
11,CRE - Taguatinga,296,ESCOLA CLASSE 13 DE TAGUATINGA,pública,"72025550",DF,Brasília,Taguatinga                    ,Taguatinga Sul (Taguatinga),QSF 5 ,Area esp. 02
4,CRE - Ceilândia,174,Escola Classe 06 de Ceilândia,pública,"72210520",DF,Brasília,Ceilândia                     ,Ceilândia Norte (Ceilândia),EQNM 4/6 ,AE
3,CRE - Plano Piloto e Cruzeiro,14,CENTRO DE ENSINO FUNDAMENTAL CASEB,pública,"70390090",DF,Brasília,Brasília                      ,Asa Sul,SGAS 909 ,CONJ A LTS 27/28
11,CRE - Taguatinga,813,CENTRO DE EDUCAÇÃO DA PRIMEIRA INFÂNCIA JEQUITIBÁ,pública,"71929540",DF,Brasília,Águas Claras                  ,Sul (Águas Claras),Avenida Jequitibá ,lote 935
3,CRE - Plano Piloto e Cruzeiro,879,Centro de Educação de Jovens e Adultos e Educação Profissional à Distância de Brasília,pública,"70200620",DF,Brasília,Brasília                      ,Asa Sul,SGAS 602 ,Projeção D 
15,CRE - São Sebastião,139,CENTRO EDUCACIONAL SÃO JOSÉ,pública,"71693059",DF,Brasília,São Sebastião                 ,Vila São José (São Sebastião),Quadra 16 Área Especial CEF ,BAIRRO SÃO JOSE
3,CRE - Plano Piloto e Cruzeiro,243,CENTRO DE ENSINO FUNDAMENTAL 102 NORTE,pública,"70722010",DF,Brasília,Brasília                      ,Asa Norte,SQN 102 Bloco A ,ÁREA ESPECIAL
3,CRE - Plano Piloto e Cruzeiro,162,CENTRO DE ENSINO FUNDAMENTAL 410 NORTE,pública,"70865000",DF,Brasília,Brasília                      ,Asa Norte,SQN 410 ,AE
3,CRE - Plano Piloto e Cruzeiro,222,JARDIM DE INFÂNCIA 102 SUL,pública,"70330000",DF,Brasília,Brasília                      ,Asa Sul,SQS 102 ,AE
10,CRE - Sobradinho,411,ESCOLA CLASSE 11 DE SOBRADINHO,pública,"73040110",DF,Brasília,Sobradinho                    ,Sobradinho,Quadra 11 ,AE 01
